Time [s],LB_recipe_blank,LB_premade_blank,EZRDM+0.2glucose_blank,EZRDM+0.2succ_blank,MOPS_0.2succ_blank,LB_recipe_1,LB_premade_1,EZRDM+0.2glucose_1,EZRDM+0.2succ_1,MOPS_0.2succ_1,LB_recipe_2,LB_premade_2,EZRDM+0.2glucose_2,EZRDM+0.2succ_2,MOPS_0.2succ_2,LB_recipe_3,LB_premade_3,EZRDM+0.2glucose_3,EZRDM+0.2succ_3,MOPS_0.2succ_3
0,0.083999999,0.084799998,0.078699999,0.081,0.0792,0.087499999,0.088399999,0.085000001,0.083700001,0.084200002,0.085699998,0.085699998,0.080300003,0.0832,0.085100003,0.102600001,0.087300003,0.0845,0.086199999,0.083899997
926.7,0.083999999,0.084799998,0.079099998,0.084100001,0.085100003,0.089299999,0.112400003,0.086999997,0.084899999,0.084299996,0.0867,0.085900001,0.084799998,0.088,0.089199997,0.087200001,0.094099998,0.087399997,0.0867,0.083999999
1853.3,0.084100001,0.085000001,0.079000004,0.084700003,0.083899997,0.086400002,0.104599997,0.0867,0.082500003,0.083300002,0.086400002,0.085600004,0.0858,0.087800004,0.088500001,0.087200001,0.089599997,0.087800004,0.085299999,0.083700001
2780,0.083899997,0.0845,0.079499997,0.083700001,0.0836,0.086000003,0.104000002,0.088100001,0.082699999,0.086000003,0.086099997,0.085299999,0.086999997,0.087700002,0.087700002,0.086800002,0.087899998,0.088,0.085000001,0.102300003
3706.6,0.083700001,0.084399998,0.079700001,0.082800001,0.083700001,0.086099997,0.092500001,0.087200001,0.082900003,0.086400002,0.085699998,0.085100003,0.086000003,0.088799998,0.088100001,0.0867,0.0858,0.0876,0.083999999,0.097900003
4633,0.085000001,0.0858,0.080200002,0.084799998,0.084799998,0.087399997,0.099600002,0.088500001,0.085900001,0.090899996,0.086800002,0.086800002,0.088100001,0.088799998,0.089000002,0.087800004,0.086900003,0.0902,0.086400002,0.088699996
5559.6,0.084600002,0.085299999,0.079300001,0.0845,0.084700003,0.087200001,0.100199997,0.089100003,0.086000003,0.091600001,0.087200001,0.086800002,0.087700002,0.089500003,0.0898,0.087499999,0.088799998,0.102499999,0.087300003,0.092200004
6486.3,0.084399998,0.085000001,0.080399998,0.084299996,0.084100001,0.087200001,0.103799999,0.092,0.087099999,0.085699998,0.086599998,0.086599998,0.089000002,0.091300003,0.089000002,0.087300003,0.087499999,0.120200001,0.095700003,0.097999997
7412.9,0.084299996,0.084299996,0.079800002,0.082900003,0.083800003,0.087300003,0.093699999,0.090300001,0.088200003,0.086599998,0.086400002,0.087300003,0.089199997,0.092299998,0.089299999,0.087300003,0.087200001,0.1052,0.101800002,0.094099998
8339.6,0.084299996,0.084299996,0.079300001,0.083700001,0.082500003,0.087499999,0.100500003,0.103299998,0.091300003,0.085600004,0.086599998,0.088399999,0.0902,0.094099998,0.089400001,0.087300003,0.087899998,0.109399997,0.101800002,0.096299998
