Time [s],EZRDM-0_1,EZRDM-0_2,EZRDM-0_3,EZRDM-0_blank,EZRDM-20_1,EZRDM-20_2,EZRDM-20_3,EZRDM-20_blank,EZRDM-25_1,EZRDM-25_2,EZRDM-25_3,EZRDM-25_blank,EZRDM-50_1,EZRDM-50_2,EZRDM-50_3,EZRDM-50_blank,LB_1,LB_2,LB_3,LB_blank,EZRDM-20acid_1,EZRDM-20acid_2,EZRDM-20acid_3,EZRDM-20acid_blank
0,0.110799998,0.113200001,0.1105,0.078000002,0.106299996,0.105599999,0.111699998,0.083099999,0.119999997,0.115599997,0.108499996,0.077399999,0.1149,0.109899998,0.123000003,0.0854,0.106399998,0.101099998,0.099799998,0.088200003,0.104400001,0.104699999,0.102200001,0.086800002
894.1,0.102499999,0.101800002,0.103799999,0.079000004,0.130500004,0.115500003,0.108400002,0.083700001,0.1083,0.122400001,0.124399997,0.080399998,0.098399997,0.102499999,0.100400001,0.079099998,0.102700002,0.104599997,0.105099998,0.088299997,0.101800002,0.100599997,0.095700003,0.082099997
1788.1,0.113499999,0.104000002,0.110699996,0.082500003,0.127900004,0.134000003,0.1162,0.080499999,0.117200002,0.123099998,0.1171,0.083800003,0.097400002,0.103600003,0.097599998,0.082199998,0.103699997,0.105599999,0.105099998,0.094300002,0.103600003,0.103100002,0.098099999,0.086400002
2682.1,0.120700002,0.120999999,0.127299994,0.083300002,0.143600002,0.150700003,0.129899994,0.078100003,0.126900002,0.122199997,0.116999999,0.077399999,0.104500003,0.103100002,0.104500003,0.085500002,0.128800005,0.113799997,0.112300001,0.089199997,0.104400001,0.102700002,0.099299997,0.084100001
3576.2,0.127200007,0.123999998,0.141299993,0.082599998,0.166700006,0.148599997,0.149599999,0.078100003,0.134100005,0.129299998,0.128199995,0.078599997,0.1083,0.103500001,0.110799998,0.0854,0.143600002,0.128299996,0.126800001,0.0889,0.108099997,0.104699999,0.106299996,0.084600002
4470.2,0.138600007,0.128700003,0.152099997,0.081799999,0.164100006,0.153400004,0.152799994,0.078400001,0.141499996,0.135700002,0.136600003,0.081600003,0.110200003,0.107100002,0.119900003,0.082699999,0.141200006,0.125300005,0.133499995,0.089100003,0.110200003,0.110799998,0.114799999,0.083800003
5364.3,0.144199997,0.135399997,0.162400007,0.078400001,0.165900007,0.155499995,0.172000006,0.083899997,0.148699999,0.137099996,0.148800001,0.080499999,0.115800001,0.109999999,0.133399993,0.079599999,0.143199995,0.123800002,0.144700006,0.089400001,0.110200003,0.113499999,0.125499994,0.082900003
6258.3,0.156900004,0.143299997,0.173700005,0.0845,0.189899996,0.160600007,0.186399996,0.077699997,0.164800003,0.148300007,0.161300004,0.077399999,0.131400004,0.116800003,0.148100004,0.0832,0.150099993,0.133100003,0.159299999,0.089199997,0.112800002,0.115000002,0.148800001,0.085100003
7152.4,0.166700006,0.154699996,0.1875,0.084799998,0.184300005,0.165099993,0.203799993,0.078000002,0.180299997,0.158600003,0.1831,0.077100001,0.142900005,0.126300007,0.167799994,0.0792,0.159099996,0.136399999,0.182500005,0.089599997,0.116999999,0.116499998,0.165999994,0.081900001
8046.4,0.184599996,0.163499996,0.209700003,0.080700003,0.196600005,0.165800005,0.219899997,0.078400001,0.201499999,0.168500006,0.200200006,0.082599998,0.147599995,0.139300004,0.192599997,0.086599998,0.1699,0.147699997,0.204699993,0.089400001,0.121600002,0.118600003,0.187299997,0.085100003
8940.4,0.210600004,0.187700003,0.235400006,0.0845,0.2148,0.189899996,0.25940001,0.081200004,0.228400007,0.191599995,0.245700002,0.0788,0.180600002,0.161500007,0.2456,0.085299999,0.187800005,0.162799999,0.225799993,0.089599997,0.133200005,0.126399994,0.219600007,0.086499996
9834.5,0.238000005,0.213400006,0.270000011,0.080799997,0.247799993,0.210899994,0.292100012,0.078699999,0.255699992,0.210199997,0.288199991,0.081699997,0.216299996,0.194499999,0.290899992,0.083499998,0.209299996,0.184,0.248999998,0.089299999,0.146899998,0.138799995,0.254500002,0.086400002
10728.5,0.269499987,0.244599998,0.312099993,0.078900002,0.273600012,0.253399998,0.334600002,0.078500003,0.287699997,0.236200005,0.333200008,0.077399999,0.252299994,0.232899994,0.328999996,0.082599998,0.232899994,0.205799997,0.276499987,0.089199997,0.167400002,0.155499995,0.294099987,0.083800003
11622.5,0.306800008,0.280200005,0.342099994,0.084200002,0.308299989,0.291099995,0.379999995,0.078500003,0.325300008,0.274500012,0.376399994,0.077600002,0.284000009,0.265899986,0.369300008,0.079700001,0.257400006,0.230499998,0.298700005,0.089599997,0.192900002,0.180700004,0.324800014,0.081699997
12516.6,0.341899991,0.317499995,0.363599986,0.081900001,0.342299998,0.326999992,0.420300007,0.078699999,0.360399991,0.310200006,0.431199998,0.077500001,0.315499991,0.3028,0.405600011,0.078599997,0.282499999,0.25150001,0.326799989,0.088799998,0.221399993,0.209700003,0.359699994,0.079400003
13410.6,0.365999997,0.340200007,0.388900012,0.0792,0.380800009,0.3653,0.460599989,0.078000002,0.399500012,0.355199993,0.470600009,0.079400003,0.351300001,0.334300011,0.441799998,0.084399998,0.31220001,0.275999993,0.353700012,0.089699998,0.25060001,0.243000001,0.409700006,0.084100001
14304.6,0.383100003,0.358999997,0.418199986,0.083099999,0.416399986,0.399699986,0.50029999,0.080600001,0.442400008,0.404100001,0.51789999,0.077299997,0.396100014,0.377400011,0.478599995,0.086300001,0.33860001,0.301999986,0.382600009,0.089699998,0.284799993,0.275999993,0.458299994,0.086300001
15198.7,0.409500003,0.387800008,0.444499999,0.081500001,0.453299999,0.440400004,0.541100025,0.078299999,0.477299988,0.445499986,0.556200027,0.078199998,0.430599988,0.411199987,0.511699975,0.0854,0.373600006,0.331400007,0.412999988,0.0898,0.326099992,0.307399988,0.50940001,0.082699999
16092.7,0.434399992,0.415199995,0.47420001,0.0836,0.482499987,0.4745,0.581900001,0.078100003,0.510699987,0.485599995,0.594699979,0.079800002,0.466500014,0.446099997,0.551299989,0.084799998,0.403699994,0.360000014,0.445199996,0.089900002,0.37560001,0.348399997,0.557600021,0.082599998
16986.8,0.451900005,0.432799995,0.495200008,0.081200004,0.513100028,0.504000008,0.619099975,0.078000002,0.547900021,0.52700001,0.63410002,0.076899998,0.504299998,0.481299996,0.588699996,0.080799997,0.43900001,0.391400009,0.479400009,0.089900002,0.430999994,0.400099993,0.605099976,0.083800003
17880.8,0.47240001,0.455300003,0.515999973,0.082800001,0.541800022,0.532000005,0.656199992,0.077799998,0.578400016,0.563399971,0.672500014,0.079499997,0.53549999,0.514400005,0.622699976,0.079800002,0.475300014,0.42840001,0.505900025,0.089400001,0.4815,0.451400012,0.648999989,0.085600004
18774.8,0.495499998,0.479099989,0.527499974,0.079800002,0.576399982,0.56279999,0.691500008,0.078400001,0.610899985,0.605300009,0.707300007,0.080899999,0.574299991,0.554799974,0.656700015,0.079499997,0.501600027,0.458700001,0.531499982,0.089699998,0.536599994,0.504000008,0.699000001,0.082800001
19668.9,0.514900029,0.503400028,0.542900026,0.079300001,0.607299984,0.592499971,0.724399984,0.079499997,0.640600026,0.638999999,0.742699981,0.078299999,0.611199975,0.587899983,0.690800011,0.079800002,0.539600015,0.496100008,0.565500021,0.088500001,0.588400006,0.552699983,0.738699973,0.081799999
20563.7,0.538200021,0.523400009,0.554099977,0.080499999,0.631500006,0.622399986,0.7579,0.081500001,0.675000012,0.676100016,0.771300018,0.080200002,0.646000028,0.625899971,0.723800004,0.080200002,0.577300012,0.527400017,0.591600001,0.0902,0.638300002,0.609499991,0.782000005,0.0845
21457.7,0.557299972,0.537299991,0.565800011,0.082999997,0.667500019,0.654699981,0.791499972,0.081200004,0.712599993,0.715799987,0.807399988,0.077299997,0.684499979,0.663800001,0.757399976,0.085000001,0.60619998,0.5546,0.615199983,0.089500003,0.693000019,0.66049999,0.824999988,0.086499996
22351.8,0.573000014,0.549300015,0.576200008,0.079800002,0.696500003,0.683499992,0.822700024,0.078900002,0.741400003,0.749800026,0.833899975,0.077500001,0.720799983,0.700399995,0.788900018,0.086199999,0.631799996,0.585699975,0.641300023,0.089500003,0.740700006,0.707799971,0.861999989,0.085199997
23245.8,0.583299994,0.558799982,0.586899996,0.080899999,0.725600004,0.714299977,0.854300022,0.078699999,0.774600029,0.785099983,0.86559999,0.077799998,0.755999982,0.737100005,0.813799977,0.079999998,0.665300012,0.614300013,0.66839999,0.089000002,0.792200029,0.754299998,0.899699986,0.0854
24139.8,0.593599975,0.570299983,0.600199997,0.080300003,0.749499977,0.738699973,0.879299998,0.078599997,0.8028,0.814899981,0.894400001,0.080300003,0.786599994,0.772099972,0.844900012,0.081500001,0.690500021,0.646399975,0.692099988,0.089699998,0.837800026,0.797299981,0.932299972,0.081799999
25033.9,0.601400018,0.578800023,0.608900011,0.079999998,0.77640003,0.761399984,0.906400025,0.079099998,0.8222,0.841199994,0.914399981,0.077399999,0.813600004,0.796800017,0.868499994,0.079800002,0.719099998,0.676500022,0.713400006,0.089400001,0.877900004,0.844900012,0.966700017,0.082599998
25927.9,0.611699998,0.592299998,0.618499994,0.080700003,0.801999986,0.787100017,0.935800016,0.0792,0.853100002,0.870599985,0.93900001,0.081600003,0.843299985,0.825699985,0.894599974,0.081200004,0.750400007,0.696099997,0.736199975,0.089299999,0.916100025,0.881799996,0.994300008,0.087499999
26822.1,0.620400012,0.603399992,0.629499972,0.082400002,0.825999975,0.81190002,0.96390003,0.078000002,0.87349999,0.898500025,0.962700009,0.081799999,0.868900001,0.850199997,0.917500019,0.085100003,0.774299979,0.726599991,0.757200003,0.089199997,0.949800014,0.914600015,1.016899943,0.085500002
27716.1,0.628099978,0.612200022,0.639199972,0.083300002,0.850099981,0.833599985,0.985400021,0.082900003,0.899299979,0.922399998,0.984799981,0.081600003,0.899200022,0.882200003,0.943899989,0.080799997,0.7949,0.744499981,0.780300021,0.090000004,0.98180002,0.949500024,1.04519999,0.084799998
28610.2,0.638599992,0.625,0.653299987,0.080300003,0.874300003,0.860199988,1.008200049,0.080799997,0.922100008,0.948800027,1.006299973,0.077699997,0.92839998,0.909200013,0.966199994,0.0854,0.810400009,0.765200019,0.802299976,0.0898,1.016299963,0.98210001,1.066799998,0.086800002
29504.2,0.653199971,0.637600005,0.664399981,0.0801,0.901300013,0.885599971,1.029099941,0.083099999,0.943199992,0.976000011,1.027799964,0.078000002,0.953100026,0.933300018,0.988900006,0.086300001,0.834999979,0.79400003,0.822799981,0.0889,1.04400003,1.006899953,1.088999987,0.086400002
