Time [s],100mM_succ_1,100mM_succ_2,100mM_succ_3,100mM_succ_blank,50mM_succ_1,50mM_succ_2,50mM_succ_3,50mM_succ_blank,25mM_succ_1,25mM_succ_2,25mM_succ_3,25mM_succ_blank,20mM_succ_1,20mM_succ_2,20mM_succ_3,20mM_succ_blank,0mM_succ_1,0mM_succ_2,0mM_succ_3,0mM_succ_blank,LB+20mM_succ_1,LB+20mM_succ_2,LB+20mM_succ_3,LB+20mM_succ_blank
0,0.078699999,0.076899998,0.077299997,0.079000004,0.077500001,0.0779,0.080700003,0.078500003,0.079999998,0.077600002,0.078400001,0.078000002,0.0788,0.079000004,0.080799997,0.0788,0.081600003,0.078000002,0.076700002,0.077500001,0.0854,0.086199999,0.086499996,0.0876
901.3,0.077600002,0.077100001,0.078400001,0.078599997,0.079099998,0.079999998,0.080600001,0.078599997,0.081100002,0.076099999,0.076899998,0.077600002,0.080200002,0.080399998,0.079999998,0.077600002,0.082199998,0.077500001,0.076899998,0.0766,0.085199997,0.086099997,0.086599998,0.0876
1802.5,0.076899998,0.078000002,0.078199998,0.075800002,0.078500003,0.081600003,0.081100002,0.078000002,0.0779,0.077299997,0.076700002,0.076499999,0.0779,0.079499997,0.080499999,0.077399999,0.0823,0.077600002,0.076899998,0.0748,0.085100003,0.085699998,0.0858,0.087200001
2703.7,0.077299997,0.077600002,0.078000002,0.077100001,0.077,0.078100003,0.079899997,0.078500003,0.078699999,0.077100001,0.077500001,0.080899999,0.083899997,0.079599999,0.082000002,0.075800002,0.080399998,0.077699997,0.076700002,0.076200001,0.084899999,0.085600004,0.086099997,0.087099999
3605,0.076899998,0.078299999,0.078699999,0.075099997,0.076499999,0.078100003,0.079300001,0.075599998,0.078400001,0.077,0.0766,0.075499997,0.080700003,0.081900001,0.081699997,0.076899998,0.078900002,0.078199998,0.077,0.075400002,0.084799998,0.085600004,0.085500002,0.086800002
4506.2,0.0788,0.0792,0.0792,0.076700002,0.078599997,0.080300003,0.079499997,0.079499997,0.077600002,0.076800004,0.0779,0.0766,0.0823,0.079899997,0.081500001,0.075999998,0.078000002,0.0779,0.0766,0.075199999,0.084799998,0.085500002,0.087200001,0.086599998
5407.5,0.079599999,0.078900002,0.0792,0.075599998,0.077500001,0.082000002,0.081200004,0.076300003,0.077699997,0.0788,0.077399999,0.076200001,0.081200004,0.085000001,0.081900001,0.076399997,0.0792,0.0788,0.0766,0.075000003,0.085100003,0.0858,0.085299999,0.086900003
6308.7,0.081600003,0.078699999,0.080300003,0.077500001,0.080200002,0.083099999,0.081600003,0.076700002,0.077200003,0.079000004,0.077500001,0.076800004,0.081200004,0.082599998,0.080899999,0.075999998,0.079499997,0.077799998,0.077699997,0.0744,0.085100003,0.0854,0.085500002,0.086900003
7210,0.081,0.079099998,0.079499997,0.076300003,0.0792,0.082500003,0.083400004,0.076800004,0.076499999,0.077299997,0.077699997,0.0757,0.081,0.083099999,0.082699999,0.076300003,0.078500003,0.078599997,0.077600002,0.074900001,0.085100003,0.085600004,0.085600004,0.0867
8111.2,0.081100002,0.079099998,0.079300001,0.0788,0.078299999,0.079400003,0.081,0.076399997,0.077600002,0.077299997,0.077799998,0.076200001,0.079999998,0.081,0.082199998,0.075000003,0.079400003,0.079300001,0.079099998,0.075800002,0.0854,0.086099997,0.085500002,0.086900003
