strain,sJMP,rep,luminescence,A600_plate_reader,OD_spec
non-targeting,4324,A,712168,0.065699998,0.19
non-targeting,4324,B,1045035,0.110800005,0.26
non-targeting,4324,C,678887,0.056299996,0.19
non-targeting,4324,D,848478,0.075299997,0.23
cyoA,4410,A,554132,0.056600001,0.18
cyoA,4410,B,689044,0.067199998,0.21
cyoA,4410,C,710074,0.0605,0.2
cyoA,4410,D,653427,0.055099998,0.19
atpB,4412,A,388293,0.031599995,0.12
atpB,4412,B,340344,0.033,0.11
atpB,4412,C,297933,0.024,0.1
atpB,4412,D,317990,0.023700003,0.12
sdhB,4433,A,310307,0.031100001,0.13
sdhB,4433,B,320338,0.0361,0.12
sdhB,4433,C,358038,0.031399999,0.14
sdhB,4433,D,306702,0.0275,0.12
nuoB,4435,A,526040,0.057699997,0.23
nuoB,4435,B,469862,0.048900001,0.21
nuoB,4435,C,493019,0.046100002,0.2
nuoB,4435,D,538485,0.060600001,0.22
