Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
B2,7069,7336,7549,7687,7929,8002,8050,8204,8346,8387,8385,8492,8678,8743,8788,8869,8997,9029,9068,9192,9230,9265,9353,9488,9444,9543,9610,9576,9725,9644,9756,9809,9811,9930,10002,9995,10038,10044,10171,10278,10150,10304,10315,10368,10447,10434,10471,10565,10590,10674,10686,10740,10781,10750,10810,10854,10875,10848,10950,10964,11037,11107,11125,11084,11228,11170,11245,11241,11337,11267,11380,11365,11431,11430,11453,11547,11543,11608,11646,11703,11642,11734,11644,11695,11829,11889,11859,11927,11951,11951,11949,12023,11995,11998,12085,12166,12176,12139,12261,12205
B3,8644,8749,8927,9076,9292,9433,9500,9640,9744,9769,9800,9925,10025,10097,10113,10208,10269,10429,10497,10512,10525,10629,10770,10753,10766,10896,10920,10986,11048,11091,11234,11222,11305,11387,11421,11431,11583,11633,11698,11796,11823,11897,11991,12015,12034,12061,12198,12241,12323,12398,12380,12443,12502,12591,12583,12661,12759,12669,12852,12910,12864,12946,13002,13180,13151,13160,13263,13304,13273,13371,13485,13554,13521,13561,13650,13729,13807,13735,13766,13789,13815,13972,14046,14136,14043,14149,14136,14337,14293,14311,14352,14411,14432,14528,14441,14572,14742,14661,14666,14700
B4,7456,7575,7664,7892,8110,8375,8618,8764,9010,9156,9282,9463,9497,9678,9790,9882,10075,10184,10364,10374,10537,10644,10692,10884,10967,11089,11175,11331,11400,11483,11589,11690,11790,11908,12000,11956,12084,12346,12292,12436,12552,12649,12632,12714,12780,12857,12954,12975,12996,13162,13261,13310,13363,13492,13367,13608,13616,13674,13757,13836,13905,13961,13983,14065,14156,14175,14250,14268,14356,14323,14615,14454,14660,14642,14737,14765,14853,14801,14882,14936,15102,14996,15061,15082,15241,15253,15289,15379,15380,15496,15470,15572,15639,15718,15592,15875,15882,15832,15761,16018
B5,5712,5779,5764,5864,5943,6050,6129,6196,6201,6261,6223,6287,6317,6353,6424,6395,6422,6433,6429,6522,6534,6643,6661,6681,6662,6674,6701,6728,6817,6816,6833,6900,6902,6996,7001,7041,7044,7129,7140,7156,7202,7277,7361,7357,7404,7415,7447,7512,7609,7600,7725,7680,7751,7805,7865,7949,7962,7977,7996,8078,8197,8208,8259,8335,8378,8325,8440,8583,8543,8573,8735,8710,8758,8803,8868,8865,8894,8921,9108,9016,9031,9110,9141,9202,9289,9290,9414,9382,9526,9531,9617,9606,9627,9781,9723,9759,9881,9898,9876,9979
B6,7212,7479,7716,7978,8240,8551,8678,8994,9118,9380,9544,9825,9971,10161,10330,10610,10769,10964,11075,11298,11454,11661,11851,11978,12066,12276,12421,12626,12752,12933,13070,13223,13274,13477,13557,13724,13932,13976,14000,14171,14284,14402,14467,14655,14723,14917,14828,14876,15091,15209,15193,15276,15342,15529,15544,15624,15740,15682,15791,15890,15927,15955,16039,16158,16187,16196,16351,16267,16259,16398,16442,16416,16381,16660,16652,16708,16651,16606,16678,16851,16800,16816,16885,16982,16900,16997,17085,17116,17025,17154,17189,17236,17210,17309,17172,17350,17254,17386,17401,17388
B7,5673,5677,5627,5624,5575,5484,5441,5310,5139,5122,4942,4859,4856,4869,4889,4825,4821,4819,4885,4826,4839,4850,4814,4786,4784,4771,4837,4728,4712,4693,4711,4704,4682,4689,4655,4615,4632,4634,4604,4596,4614,4610,4543,4581,4569,4539,4528,4536,4532,4518,4543,4537,4523,4521,4493,4520,4507,4460,4472,4466,4490,4478,4507,4529,4450,4486,4436,4471,4419,4417,4435,4413,4446,4347,4378,4384,4381,4403,4337,4398,4380,4331,4368,4365,4404,4398,4380,4321,4347,4320,4315,4336,4373,4357,4349,4332,4335,4313,4287,4285
C2,7947,8234,8491,8717,8978,9238,9394,9530,9659,9889,9969,10161,10340,10577,10652,10742,10851,11059,11179,11346,11394,11484,11653,11796,11937,11988,12108,12251,12368,12366,12500,12684,12806,12925,13015,13119,13052,13221,13372,13366,13517,13601,13760,13749,13729,13936,14000,14157,14200,14264,14246,14329,14486,14531,14556,14523,14740,14821,14763,14944,14947,15057,15153,15058,15238,15187,15272,15285,15389,15405,15508,15563,15566,15552,15700,15676,15804,15781,15756,15943,15963,15920,15986,16003,16180,16182,16195,16265,16319,16501,16378,16402,16507,16428,16442,16460,16557,16653,16580,16785
C3,7983,8064,8253,8401,8591,8748,8788,8955,9085,9262,9210,9410,9457,9600,9719,9742,9912,10012,10141,10258,10260,10356,10486,10572,10704,10786,10908,10932,11035,11157,11315,11329,11364,11542,11502,11651,11720,11760,11833,11963,12036,12051,12089,12133,12269,12324,12393,12454,12552,12493,12586,12691,12775,12761,12817,12889,13023,13000,12990,13045,13069,13041,13090,13185,13189,13195,13279,13344,13389,13411,13419,13539,13534,13517,13663,13705,13594,13723,13756,13771,13910,13788,13949,14030,14076,14114,14147,14214,14218,14265,14388,14270,14495,14367,14470,14514,14543,14574,14662,14713
C4,8084,8463,8824,9259,9640,10080,10338,10659,10954,11335,11529,11880,12049,12470,12758,12968,13102,13565,13723,13886,14135,14388,14578,14673,14922,15100,15283,15450,15592,15773,16058,16057,16429,16508,16622,16723,16903,16969,17077,17190,17402,17463,17567,17666,17769,17955,18021,18052,18184,18245,18364,18372,18604,18544,18562,18766,18761,18800,18807,18922,19057,19033,19092,19129,19212,19336,19269,19254,19463,19397,19393,19468,19521,19572,19632,19665,19591,19591,19618,19758,19801,19693,19750,19910,19846,19916,19917,19854,19778,19912,19807,20074,19935,20019,19972,20087,20015,20077,20072,20044
C5,5175,5090,5184,5237,5334,5334,5370,5440,5442,5525,5580,5573,5646,5719,5677,5688,5721,5768,5839,5885,5875,5987,5973,5995,6075,6048,6122,6228,6223,6241,6244,6316,6395,6398,6396,6520,6575,6560,6622,6706,6690,6723,6800,6848,6842,6917,6921,7065,7036,7128,7247,7234,7198,7351,7335,7400,7450,7506,7549,7626,7724,7693,7722,7872,7873,7969,8038,8005,8082,8146,8171,8232,8279,8364,8353,8439,8464,8575,8580,8669,8715,8721,8830,8873,8928,8918,8995,9115,9157,9234,9227,9300,9268,9324,9445,9389,9484,9497,9493,9635
C6,7199,7198,7326,7488,7496,7588,7690,7765,7901,7961,8018,8143,8182,8247,8381,8424,8461,8590,8656,8726,8711,8711,8913,8917,9047,9038,9119,9139,9260,9387,9358,9370,9427,9509,9564,9634,9713,9677,9734,9758,9851,9894,9936,10051,10076,10052,10095,10165,10168,10170,10232,10245,10312,10328,10403,10474,10551,10552,10531,10553,10618,10629,10698,10673,10718,10800,10876,10859,10918,10922,10943,10971,11022,11045,11080,11112,11147,11225,11203,11152,11229,11285,11358,11346,11420,11505,11431,11446,11553,11531,11499,11616,11627,11653,11651,11677,11705,11771,11741,11762
